"","team_api_id","team_long_name","buildUpPlay_sum","chanceCreation_sum","defence_sum","goals"
"180",9807,"CF Os Belenenses",60,160,90,148
"181",9809,"Naval 1° de Maio",60,165,90,71
"182",9810,"Eintracht Frankfurt",95,165,140,296
"183",9817,"Watford",140,205,205,40
"184",9823,"FC Bayern Munich",105,205,175,653
"185",9824,"FC Vaduz",141,137,133,100
"186",9825,"Arsenal",96,110,120,573
"187",9826,"Crystal Palace",140,205,185,119
"188",9827,"Girondins de Bordeaux",105,190,195,404
"189",9829,"AS Monaco",90,165,205,287
"190",9830,"FC Nantes",90,160,105,135
"191",9831,"OGC Nice",140,155,210,342
"192",9836,"Dijon FCO",95,135,120,38
"193",9837,"Stade de Reims",85,165,140,168
"194",9839,"VVV-Venlo",100,150,150,152
"195",9847,"Paris Saint-Germain",115,160,210,568
"196",9850,"Norwich City",135,195,200,160
"197",9851,"Stade Rennais FC",95,190,210,367
"198",9853,"AS Saint-Étienne",130,175,90,371
"199",9855,"Grenoble Foot 38",140,195,195,55
"200",9857,"Bologna",120,165,135,263
"201",9858,"Brescia",60,155,130,34
"202",9860,"Heart of Midlothian",140,210,200,317
"203",9864,"Málaga CF",115,155,155,377
"204",9865,"UD Almería",110,160,165,202
"205",9867,"CD Tenerife",60,140,125,40
"206",9868,"Xerez Club Deportivo",60,150,140,38
"207",9869,"Real Sporting de Gijón",125,185,195,200
"208",9873,"Valenciennes FC",130,170,115,256
"209",9874,"FC Sochaux-Montbéliard",136,125,160,246
"210",9875,"Napoli",100,135,165,514
"211",9876,"Hellas Verona",100,150,150,145
"212",9878,"Pescara",110,120,145,27
"213",9879,"Fulham",130,190,115,265
"214",9880,"Cesena",60,145,130,98
"215",9882,"Sampdoria",90,125,135,318
"216",9885,"Juventus",80,170,155,543
"217",9888,"Lecce",70,175,165,121
"218",9891,"Frosinone",60,140,125,35
"219",9904,"Hannover 96",125,175,210,359
"220",9905,"1. FSV Mainz 05",85,185,170,320
"221",9906,"Atlético Madrid",94,185,159,524
"222",9908,"FC Utrecht",90,150,90,408
"223",9910,"RC Celta de Vigo",65,160,115,184
"224",9911,"VfL Bochum",115,150,140,72
"225",9912,"DSC Arminia Bielefeld",105,165,135,29
"226",9925,"Celtic",140,205,200,695
"227",9927,"Motherwell",140,205,200,403
"228",9930,"FC Aarau",110,180,150,153
"229",9931,"FC Basel",85,165,180,619
"230",9938,"Dundee United",140,205,200,438
"231",9941,"Toulouse FC",105,150,105,339
"232",9956,"Grasshopper Club Zürich",80,180,160,429
"233",9976,"Bari",60,135,115,76
"234",9984,"KSV Cercle Brugge",80,170,195,213
"235",9985,"Standard de Liège",93,175,205,341
"236",9986,"Sporting Charleroi",90,148,210,201
"237",9987,"KRC Genk",90,145,205,348
"238",9989,"Lierse SK",113,150,139,113
"239",9991,"KAA Gent",135,170,135,390
"240",9993,"Beerschot AC",70,135,210,174
"241",9994,"Sporting Lokeren",120,140,200,279
"242",9996,"Royal Excel Mouscron",150,150,140,42
"243",9997,"Sint-Truidense VV",100,150,150,115
"244",9998,"RAEC Mons",100,149,138,129
"245",9999,"KSV Roeselare",125,125,205,62
"246",10000,"SV Zulte-Waregem",125,150,200,306
"247",10001,"KVC Westerlo",105,140,210,217
"248",10003,"Swansea City",135,210,210,233
"249",10167,"Parma",60,170,145,272
"250",10172,"Queens Park Rangers",140,210,210,115
"251",10179,"FC Sion",95,170,120,371
"252",10189,"FC Schalke 04",120,195,185,426
"253",10190,"FC St. Gallen",95,145,155,276
"254",10191,"FC Thun",90,131,117,279
"255",10192,"BSC Young Boys",110,185,170,529
"256",10194,"Stoke City",135,195,140,322
"257",10199,"FC Luzern",105,175,135,421
"258",10205,"Villarreal CF",94,160,165,364
"259",10211,"SC Beira Mar",94,157,155,93
"260",10212,"CS Marítimo",60,170,90,316
"261",10214,"CD Nacional",75,165,90,332
"262",10215,"Académica de Coimbra",60,165,90,240
"263",10217,"ADO Den Haag",65,145,90,366
"264",10218,"Excelsior",132,162,105,154
"265",10219,"RKC Waalwijk",80,150,150,153
"266",10228,"SC Heerenveen",65,150,90,470
"267",10229,"AZ",100,130,110,492
"268",10233,"Genoa",120,175,135,392
"269",10235,"Feyenoord",60,131,90,489
"270",10238,"Vitória Setúbal",60,165,90,238
"271",10242,"ES Troyes AC",85,135,140,71
"272",10243,"FC Zürich",105,165,155,468
"273",10249,"Montpellier Hérault SC",70,160,210,344
"274",10251,"Hibernian",140,200,200,259
"275",10252,"Aston Villa",129,185,130,335
"276",10260,"Manchester United",115,180,130,582
"277",10261,"Newcastle United",130,195,155,324
"278",10264,"SC Braga",60,165,90,398
"279",10265,"Wisła Kraków",75,160,205,332
"280",10267,"Valencia CF",60,185,175,484
"281",10268,"Elche CF",60,165,140,65
"282",10269,"VfB Stuttgart",100,200,175,415
"283",10278,"Hércules Club de Fútbol",70,155,120,36
"284",10281,"Real Valladolid",95,135,125,170
"285",108893,"AC Arles-Avignon",115,95,115,21
"286",158085,"FC Arouca",174,160,109,101
"287",208931,"Carpi",109,137,141,37
"288",274581,"Royal Excel Mouscron",150,150,140,71
